pathway,n_genes,corr,abs_corr,sign
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,3,,,0
REACTOME_ACTIVATION_OF_RAC1,2,,,0
REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,1,,,0
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,1,,,0
REACTOME_ACTIVATION_OF_SMO,4,,,0
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,4,,,0
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,6,,,0
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,2,,,0
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,12,0.7207995653152466,0.7207995653152466,1
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,3,,,0
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,0,,,0
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,0,,,0
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,0,,,0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,2,,,0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,3,,,0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,2,,,0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,1,,,0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,3,,,0
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,196,0.7156307101249695,0.7156307101249695,1
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,2,,,0
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,2,,,0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,2,,,0
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,26,0.7391605973243713,0.7391605973243713,1
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,8,,,0
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,8,,,0
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,9,,,0
REACTOME_ADRENOCEPTORS,1,,,0
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,5,,,0
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,2,,,0
REACTOME_AGGREPHAGY,7,,,0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,0,,,0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,2,,,0
REACTOME_ALK_MUTANTS_BIND_TKIS,1,,,0
REACTOME_ALPHA_DEFENSINS,0,,,0
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,1,,,0
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE,2,,,0
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,4,,,0
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,3,,,0
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,1,,,0
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,8,,,0
REACTOME_AMINO_ACID_CONJUGATION,1,,,0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,2,,,0
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,1,,,0
REACTOME_AMYLOID_FIBER_FORMATION,13,0.7429572343826294,0.7429572343826294,1
REACTOME_ANCHORING_FIBRIL_FORMATION,1,,,0
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,29,0.8179768323898315,0.8179768323898315,1
REACTOME_ANDROGEN_BIOSYNTHESIS,1,,,0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,12,0.8728682398796082,0.8728682398796082,1
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,4,,,0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,15,0.771621823310852,0.771621823310852,1
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,64,0.7506418228149414,0.7506418228149414,1
REACTOME_ANTIMICROBIAL_PEPTIDES,8,,,0
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,17,0.819918692111969,0.819918692111969,1
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,36,0.672606348991394,0.672606348991394,1
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,10,0.7780705094337463,0.7780705094337463,1
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,8,,,0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,12,0.7719586491584778,0.7719586491584778,1
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,14,0.7497708797454834,0.7497708797454834,1
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,2,,,0
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION,1,,,0
REACTOME_APOPTOSIS,33,0.8030167818069458,0.8030167818069458,1
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,4,,,0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,9,,,0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,2,,,0
REACTOME_APOPTOTIC_EXECUTION_PHASE,12,0.85097336769104,0.85097336769104,1
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,1,,,0
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,16,0.5933197736740112,0.5933197736740112,1
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,0,,,0
REACTOME_ARACHIDONIC_ACID_METABOLISM,10,0.7033528089523315,0.7033528089523315,1
REACTOME_ARMS_MEDIATED_ACTIVATION,1,,,0
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING,1,,,0
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,60,0.6463387608528137,0.6463387608528137,1
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM,2,,,0
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,7,,,0
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,2,,,0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,11,0.647498607635498,0.647498607635498,1
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,5,,,0
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,6,,,0
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS,8,,,0
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,7,,,0
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,8,,,0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,4,,,0
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,4,,,0
REACTOME_ATTACHMENT_AND_ENTRY,1,,,0
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR,3,,,0
REACTOME_ATTENUATION_PHASE,14,0.8837487697601318,0.8837487697601318,1
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,7,,,0
REACTOME_AURKA_ACTIVATION_BY_TPX2,23,0.7206864356994629,0.7206864356994629,1
REACTOME_AUTOPHAGY,30,0.669063150882721,0.669063150882721,1
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,6,,,0
REACTOME_BASE_EXCISION_REPAIR,21,0.7921396493911743,0.7921396493911743,1
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,8,,,0
REACTOME_BASIGIN_INTERACTIONS,4,,,0
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,9,,,0
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,30,0.68736732006073,0.68736732006073,1
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,1,,,0
REACTOME_BETA_DEFENSINS,2,,,0
REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA,2,,,0
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,2,,,0
REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA,1,,,0
REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA,1,,,0
REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,2,,,0
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA,3,,,0
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,4,,,0
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,4,,,0
REACTOME_BICARBONATE_TRANSPORTERS,3,,,0
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,6,,,0
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,11,0.8251281976699829,0.8251281976699829,1
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS,3,,,0
REACTOME_BIOLOGICAL_OXIDATIONS,27,0.5731722712516785,0.5731722712516785,1
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,1,,,0
REACTOME_BIOSYNTHESIS_OF_MARESINS,1,,,0
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,0,,,0
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,4,,,0
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,22,0.7808660864830017,0.7808660864830017,1
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,2,,,0
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,6,,,0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,7,,,0
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,6,,,0
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,4,,,0
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,4,,,0
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,4,,,0
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,7,,,0
REACTOME_CA2_ACTIVATED_K_CHANNELS,1,,,0
REACTOME_CA2_PATHWAY,23,0.6710737347602844,0.6710737347602844,1
REACTOME_CALCINEURIN_ACTIVATES_NFAT,3,,,0
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,2,,,0
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,4,,,0
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,1,,,0
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,9,,,0
REACTOME_CARDIAC_CONDUCTION,15,0.6986148953437805,0.6986148953437805,1
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,5,,,0
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,17,0.6600403785705566,0.6600403785705566,1
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,11,0.7607502341270447,0.7607502341270447,1
REACTOME_CARNITINE_METABOLISM,3,,,0
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,7,,,0
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,3,,,0
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,10,0.6989730596542358,0.6989730596542358,1
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,4,,,0
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS,2,,,0
REACTOME_CA_DEPENDENT_EVENTS,5,,,0
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,2,,,0
REACTOME_CD209_DC_SIGN_SIGNALING,5,,,0
REACTOME_CD22_MEDIATED_BCR_REGULATION,2,,,0
REACTOME_CD28_CO_STIMULATION,10,0.8346915245056152,0.8346915245056152,1
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,8,,,0
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,2,,,0
REACTOME_CDC42_GTPASE_CYCLE,31,0.7259483933448792,0.7259483933448792,1
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,5,,,0
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX,8,,,0
REACTOME_CELLULAR_HEXOSE_TRANSPORT,5,,,0
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,153,0.7309095859527588,0.7309095859527588,1
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,24,0.7960915565490723,0.7960915565490723,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,33,0.8206493258476257,0.8206493258476257,1
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,8,,,0
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,16,0.8151215314865112,0.8151215314865112,1
REACTOME_CELLULAR_SENESCENCE,44,0.7361385822296143,0.7361385822296143,1
REACTOME_CELL_CELL_COMMUNICATION,18,0.5230159759521484,0.5230159759521484,1
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,9,,,0
REACTOME_CELL_CYCLE,176,0.8030838370323181,0.8030838370323181,1
REACTOME_CELL_CYCLE_CHECKPOINTS,59,0.8246968388557434,0.8246968388557434,1
REACTOME_CELL_CYCLE_MITOTIC,136,0.78985595703125,0.78985595703125,1
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,25,0.6566440463066101,0.6566440463066101,1
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,1,,,0
REACTOME_CELL_JUNCTION_ORGANIZATION,9,,,0
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,36,0.5137131214141846,0.5137131214141846,1
REACTOME_CGMP_EFFECTS,3,,,0
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,8,,,0
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,35,0.8046168088912964,0.8046168088912964,1
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,0,,,0
REACTOME_CHL1_INTERACTIONS,3,,,0
REACTOME_CHOLESTEROL_BIOSYNTHESIS,11,0.7954156398773193,0.7954156398773193,1
REACTOME_CHOLINE_CATABOLISM,0,,,0
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,2,,,0
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,7,,,0
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION,2,,,0
REACTOME_CHROMATIN_MODIFYING_ENZYMES,61,0.7116372585296631,0.7116372585296631,1
REACTOME_CHROMOSOME_MAINTENANCE,33,0.7974894642829895,0.7974894642829895,1
REACTOME_CHYLOMICRON_ASSEMBLY,2,,,0
REACTOME_CHYLOMICRON_CLEARANCE,4,,,0
REACTOME_CHYLOMICRON_REMODELING,2,,,0
REACTOME_CILIUM_ASSEMBLY,55,0.7196663618087769,0.7196663618087769,1
REACTOME_CIRCADIAN_CLOCK,21,0.6858179569244385,0.6858179569244385,1
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,4,,,0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,74,0.6973821520805359,0.6973821520805359,1
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,18,0.4984211027622223,0.4984211027622223,1
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,1,,,0
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,77,0.7263349294662476,0.7263349294662476,1
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,6,,,0
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,27,0.6590906381607056,0.6590906381607056,1
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,5,,,0
REACTOME_CLEC7A_DECTIN_1_SIGNALING,17,0.6306614279747009,0.6306614279747009,1
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,3,,,0
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,4,,,0
REACTOME_COENZYME_A_BIOSYNTHESIS,3,,,0
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,4,,,0
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,12,0.755794107913971,0.755794107913971,1
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,8,,,0
REACTOME_COLLAGEN_DEGRADATION,13,0.5901297926902771,0.5901297926902771,1
REACTOME_COLLAGEN_FORMATION,16,0.6262738704681396,0.6262738704681396,1
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,5,,,0
REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION,3,,,0
REACTOME_COMPLEMENT_CASCADE,13,0.732721745967865,0.732721745967865,1
REACTOME_COMPLEX_I_BIOGENESIS,9,,,0
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,3,,,0
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,4,,,0
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE,1,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,20,0.7315673232078552,0.7315673232078552,1
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,5,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII,4,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,6,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,2,,,0
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,6,,,0
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,11,0.7749914526939392,0.7749914526939392,1
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,8,,,0
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,10,0.7656504511833191,0.7656504511833191,1
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,21,0.771909773349762,0.771909773349762,1
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,6,,,0
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,15,0.7879428267478943,0.7879428267478943,1
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,25,0.8516780138015747,0.8516780138015747,1
REACTOME_CREATINE_METABOLISM,1,,,0
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,,,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING,6,,,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE,4,,,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE,0,,,0
REACTOME_CREB3_FACTORS_ACTIVATE_GENES,2,,,0
REACTOME_CREB_PHOSPHORYLATION,3,,,0
REACTOME_CRISTAE_FORMATION,3,,,0
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,2,,,0
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,3,,,0
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,1,,,0
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,3,,,0
REACTOME_CS_DS_DEGRADATION,1,,,0
REACTOME_CTLA4_INHIBITORY_SIGNALING,5,,,0
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,3,,,0
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,16,0.7548475861549377,0.7548475861549377,1
REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,17,0.6384552717208862,0.6384552717208862,1
REACTOME_CYP2E1_REACTIONS,0,,,0
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,1,,,0
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,4,,,0
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,0.7245453596115112,0.7245453596115112,1
REACTOME_CYTOPROTECTION_BY_HMOX1,19,0.8252949118614197,0.8252949118614197,1
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY,2,,,0
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,13,0.7410892844200134,0.7410892844200134,1
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,6,,,0
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,1,,,0
